N,all_H_ci_high,all_H_ci_low,all_H_full_likelihood,all_H_method,all_H_seed,all_H_trials,exact_gap_honest_minus_p_B,figure,m,n,p_B_special,p_exact_honest,p_upper_published,samples,t
16,,,0.8109396293002646,exact,,,-0.007568091154098511,5a,6,4,0.6605329215526581,0.6529648303985596,0.6640834808349609,6,1
64,0.9377625006608012,0.9368121396967324,0.937289,"frozen Monte Carlo, Wilson 95% interval",20260817,1000000,0.09454681382821187,5b,9,6,0.7163709428659125,0.8109177566941244,0.817392101817909,36,4
512,0.9587741330997164,0.955533995616519,0.9571833333333334,"frozen Monte Carlo, Wilson 95% interval",20260818,60000,0.25034302568279093,5c,21,9,0.6544606552438668,0.9048036809266576,0.9066058005507891,189,9
